Altium Designer Pick and Place Locations
C:\github\rcmodel\smartport\Project Outputs for smartport_inverter\Pick Place\Pick Place for smartport_inverter_Panel5X5.csv

========================================================================================================================
File Design Information:

Date:       27.08.23
Time:       19:45
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","value"
"M4_1_2","Marker","BottomLayer","PASSER-KREIS","78.7250","-6.0000","270","","78.7250","-6.0000","78.7250","-6.0000","NP"
"M3_1_2","Marker","TopLayer","PASSER-KREIS","78.7250","-6.0000","90","","78.7250","-6.0000","78.7250","-6.0000","NP"
"M4_1_1","Marker","BottomLayer","PASSER-KREIS","4.0000","-6.4000","180","","4.0000","-6.4000","4.0000","-6.4000","NP"
"M3_1_1","Marker","TopLayer","PASSER-KREIS","4.0000","-6.4000","0","","4.0000","-6.4000","4.0000","-6.4000","NP"
"M3_1","Marker","TopLayer","PASSER-KREIS","4.0000","65.8750","270","","4.0000","65.8750","4.0000","65.8750","NP"
"M4_1","Marker","BottomLayer","PASSER-KREIS","4.0000","65.8750","90","","4.0000","65.8750","4.0000","65.8750","NP"
"M4_1_3","Marker","BottomLayer","PASSER-KREIS","75.9250","63.9750","90","","75.9250","63.9750","75.9250","63.9750","NP"
"M3_1_3","Marker","TopLayer","PASSER-KREIS","75.9250","63.9750","270","","75.9250","63.9750","75.9250","63.9750","NP"
"J1","61300511121","TopLayer","61300511121","7.0250","2.5250","0","Headers & Wire Housings WR-PHD 2.54mm Hdr 5P Single Str Gold","1.9450","2.5250","1.9450","2.5250","61300511121"
"Q1","2N7002-7-F","TopLayer","SOT23-3N","4.9055","6.8152","180","MOSFET N-CH 60V 200MA SOT23-3","4.9055","6.8152","5.8055","5.8652","2N7002-7-F"
"Q2","2N7002-7-F","TopLayer","SOT23-3N","9.9305","6.8152","180","MOSFET N-CH 60V 200MA SOT23-3","9.9305","6.8152","10.8305","5.8652","2N7002-7-F"
"R1","4.7k","TopLayer","R0603","1.9555","7.5652","90","Resistor 4.7k 0603 +-1% 0.1","1.9555","7.5652","1.9555","6.8152","4.7k"
"R2","4.7k","TopLayer","R0603","8.2805","9.7902","0","Resistor 4.7k 0603 +-1% 0.1","8.2805","9.7902","7.5305","9.7902","4.7k"
"R3","47k","TopLayer","R0603","4.9055","9.7902","0","Resistor 47k 0603 +-1% 0.1","4.9055","9.7902","4.1555","9.7902","47k"
"J1","61300511121","TopLayer","61300511121","7.0250","14.5250","0","Headers & Wire Housings WR-PHD 2.54mm Hdr 5P Single Str Gold","1.9450","14.5250","1.9450","14.5250","61300511121"
"Q1","2N7002-7-F","TopLayer","SOT23-3N","4.9055","18.8152","180","MOSFET N-CH 60V 200MA SOT23-3","4.9055","18.8152","5.8055","17.8652","2N7002-7-F"
"Q2","2N7002-7-F","TopLayer","SOT23-3N","9.9305","18.8152","180","MOSFET N-CH 60V 200MA SOT23-3","9.9305","18.8152","10.8305","17.8652","2N7002-7-F"
"R1","4.7k","TopLayer","R0603","1.9555","19.5652","90","Resistor 4.7k 0603 +-1% 0.1","1.9555","19.5652","1.9555","18.8152","4.7k"
"R2","4.7k","TopLayer","R0603","8.2805","21.7902","0","Resistor 4.7k 0603 +-1% 0.1","8.2805","21.7902","7.5305","21.7902","4.7k"
"R3","47k","TopLayer","R0603","4.9055","21.7902","0","Resistor 47k 0603 +-1% 0.1","4.9055","21.7902","4.1555","21.7902","47k"
"J1","61300511121","TopLayer","61300511121","7.0250","26.5250","0","Headers & Wire Housings WR-PHD 2.54mm Hdr 5P Single Str Gold","1.9450","26.5250","1.9450","26.5250","61300511121"
"Q1","2N7002-7-F","TopLayer","SOT23-3N","4.9055","30.8152","180","MOSFET N-CH 60V 200MA SOT23-3","4.9055","30.8152","5.8055","29.8652","2N7002-7-F"
"Q2","2N7002-7-F","TopLayer","SOT23-3N","9.9305","30.8152","180","MOSFET N-CH 60V 200MA SOT23-3","9.9305","30.8152","10.8305","29.8652","2N7002-7-F"
